Jahr;Monat;Branche_Code;Branche_Label;Umsatz;Veraenderung
2016;12;WZ08-551;Hotels;97.5;4.2
2016;12;WZ08-552;Ferienunterkünfte;62;-17.9
2016;12;WZ08-553;Campingplätze;39.2;-5.3
2016;12;WZ08-56;Gastronomie;110.8;1.3
2016;12;WZ08-561;Restaurants & Cafes;110.8;1.4
2016;12;WZ08-562;Caterer;108.7;1.1
2016;12;WZ08-563;Bars & Clubs;117.1;1
2017;1;WZ08-55;Beherbergung;79.5;3.7
2017;1;WZ08-551;Hotels;80.2;3.9
2017;1;WZ08-552;Ferienunterkünfte;56.5;-6.3
2017;1;WZ08-553;Campingplätze;115.9;15.9
2017;1;WZ08-56;Gastronomie;87.7;1.5
2017;1;WZ08-561;Restaurants & Cafes;86.1;2
2017;1;WZ08-562;Caterer;95.5;1.8
2017;1;WZ08-563;Bars & Clubs;81.4;-2.9
2017;2;WZ08-55;Beherbergung;80.8;0.1
2017;2;WZ08-551;Hotels;82.6;0.5
2017;2;WZ08-552;Ferienunterkünfte;61.5;-1.8
2017;2;WZ08-553;Campingplätze;53.6;-9.8
2017;2;WZ08-56;Gastronomie;88.9;2.3
2017;2;WZ08-561;Restaurants & Cafes;86.7;3.2
2017;2;WZ08-562;Caterer;97;-0.1
2017;2;WZ08-563;Bars & Clubs;86.4;2.9
2017;3;WZ08-55;Beherbergung;98.4;6.7
2017;3;WZ08-551;Hotels;100.5;7.8
2017;3;WZ08-552;Ferienunterkünfte;74;-5
2017;3;WZ08-553;Campingplätze;77.5;-10.3
2017;3;WZ08-56;Gastronomie;101.8;6.9
2017;3;WZ08-561;Restaurants & Cafes;100.7;7.4
2017;3;WZ08-562;Caterer;108.4;7.3
2017;3;WZ08-563;Bars & Clubs;94;2.1
2017;4;WZ08-55;Beherbergung;99.4;-1.1
2017;4;WZ08-551;Hotels;98.7;-2.9
2017;4;WZ08-552;Ferienunterkünfte;94.4;12.8
2017;4;WZ08-553;Campingplätze;142.2;47.4
2017;4;WZ08-56;Gastronomie;104.3;4
2017;4;WZ08-561;Restaurants & Cafes;107.1;8.1
2017;4;WZ08-562;Caterer;96.5;-7.4
2017;4;WZ08-563;Bars & Clubs;101.1;0.3
2017;5;WZ08-55;Beherbergung;120.2;8.6
2017;5;WZ08-551;Hotels;121.2;10
2017;5;WZ08-552;Ferienunterkünfte;108.8;-2.3
2017;5;WZ08-553;Campingplätze;109.5;-14.2
2017;5;WZ08-56;Gastronomie;110.9;3.5
2017;5;WZ08-561;Restaurants & Cafes;112.6;3.1
2017;5;WZ08-562;Caterer;108.6;8.5
2017;5;WZ08-563;Bars & Clubs;103;-4.2
2017;6;WZ08-55;Beherbergung;115.9;1.9
2017;6;WZ08-551;Hotels;114.5;0.6
2017;6;WZ08-552;Ferienunterkünfte;124.8;11.1
2017;6;WZ08-553;Campingplätze;150.1;33.4
2017;6;WZ08-56;Gastronomie;112.5;7.1
2017;6;WZ08-561;Restaurants & Cafes;114.7;9.9
2017;6;WZ08-562;Caterer;108.2;-1.5
2017;6;WZ08-563;Bars & Clubs;104.7;7.3
2017;7;WZ08-55;Beherbergung;120.8;3.4
2017;7;WZ08-551;Hotels;117.5;3.7
2017;7;WZ08-552;Ferienunterkünfte;145.9;1.7
2017;7;WZ08-553;Campingplätze;188.8;-3.1
2017;7;WZ08-56;Gastronomie;116.5;3.3
2017;7;WZ08-561;Restaurants & Cafes;121.1;3.6
2017;7;WZ08-562;Caterer;104;3
2017;7;WZ08-563;Bars & Clubs;109.5;0.3
2017;8;WZ08-55;Beherbergung;116.6;0.5
2017;8;WZ08-551;Hotels;112.9;0.7
2017;8;WZ08-552;Ferienunterkünfte;145.7;-1.2
2017;8;WZ08-553;Campingplätze;194.3;-4.5
2017;8;WZ08-56;Gastronomie;113;3.6
2017;8;WZ08-561;Restaurants & Cafes;117.3;3
2017;8;WZ08-562;Caterer;101.6;7.2
2017;8;WZ08-563;Bars & Clubs;105.8;-0.6
2017;9;WZ08-55;Beherbergung;131.5;0.7
2017;9;WZ08-551;Hotels;132.7;0.9
2017;9;WZ08-552;Ferienunterkünfte;121.7;-1.3
2017;9;WZ08-553;Campingplätze;109.5;-9.5
2017;9;WZ08-56;Gastronomie;114.2;2.5
2017;9;WZ08-561;Restaurants & Cafes;114.1;2.6
2017;9;WZ08-562;Caterer;116.2;3.5
2017;9;WZ08-563;Bars & Clubs;110.8;0.5
2017;10;WZ08-55;Beherbergung;120.3;2.1
2017;10;WZ08-551;Hotels;122;2.5
2017;10;WZ08-552;Ferienunterkünfte;108.1;-4.4
2017;10;WZ08-553;Campingplätze;77.1;1.4
2017;10;WZ08-56;Gastronomie;111.1;4.1
2017;10;WZ08-561;Restaurants & Cafes;112.6;5.1
2017;10;WZ08-562;Caterer;106.6;2.5
2017;10;WZ08-563;Bars & Clubs;110;0.1
2017;11;WZ08-55;Beherbergung;98.2;2.9
2017;11;WZ08-551;Hotels;101.8;3.1
2017;11;WZ08-552;Ferienunterkünfte;64.6;4.2
2017;11;WZ08-553;Campingplätze;37.1;4.8
2017;11;WZ08-56;Gastronomie;101.2;4.2
2017;11;WZ08-561;Restaurants & Cafes;99;4.9
2017;11;WZ08-562;Caterer;111.4;3.6
2017;11;WZ08-563;Bars & Clubs;93.3;1.2
2017;12;WZ08-55;Beherbergung;100.1;6.3
2017;12;WZ08-551;Hotels;103.3;5.9
2017;12;WZ08-552;Ferienunterkünfte;66.5;7.3
2017;12;WZ08-553;Campingplätze;60.4;54.1
2017;12;WZ08-56;Gastronomie;116;4.7
2017;12;WZ08-561;Restaurants & Cafes;116.1;4.8
2017;12;WZ08-562;Caterer;114.4;5.2
2017;12;WZ08-563;Bars & Clubs;118.1;0.9
2018;1;WZ08-55;Beherbergung;83.8;5.4
2018;1;WZ08-551;Hotels;84.2;5
2018;1;WZ08-552;Ferienunterkünfte;62;9.7
2018;1;WZ08-553;Campingplätze;131;13
2018;1;WZ08-56;Gastronomie;92.9;5.9
2018;1;WZ08-561;Restaurants & Cafes;92.8;7.8
2018;1;WZ08-562;Caterer;96.9;1.5
2018;1;WZ08-563;Bars & Clubs;83.4;2.5
2018;2;WZ08-55;Beherbergung;85;5.2
2018;2;WZ08-551;Hotels;86.6;4.8
2018;2;WZ08-552;Ferienunterkünfte;69.4;12.8
2018;2;WZ08-553;Campingplätze;52.6;-1.9
2018;2;WZ08-56;Gastronomie;90.7;2
2018;2;WZ08-561;Restaurants & Cafes;89.2;2.9
2018;2;WZ08-562;Caterer;97.3;0.3
